## ChamberQ starter advice and investigations, per diagnosis
## ------------------------------------------------------------------------
## Tapped into the Advice and Inv boxes when a doctor picks the diagnosis.
## Nothing is applied on its own and every word stays editable.
##
## NO MEDICINES ARE LISTED HERE, deliberately. A drug set attached to a
## diagnosis is a clinical recommendation and this product does not make those
## -- the doctor builds his own drug packs from prescriptions he has written.
## Lifestyle advice and a routine work-up are a different kind of thing: they
## are what the doctor would say out loud anyway, and getting them printed in
## Bangla is worth more to the patient than to him.
##
## `advice` is shown when the panel is in English, `advice_bn` when it is in
## Bangla, so the doctor always signs text in the language he is reading.
## Investigations stay in English: that is how every lab in the country
## prints a request.
##
## To stop a preset appearing, put  hold  in the last column.
## Reload after editing:  php artisan condition-presets:load
code,advice,advice_bn,tests,hold
# --- Stomach --------------------------------------------------------------
SLD-GI-001,"Avoid spicy and oily food. Eat small frequent meals. Do not stay empty stomach for long. Avoid painkillers on an empty stomach.","ঝাল ও তৈলাক্ত খাবার এড়িয়ে চলুন। অল্প অল্প করে বারবার খান। বেশিক্ষণ খালি পেটে থাকবেন না। খালি পেটে ব্যথার ওষুধ খাবেন না।","CBC, S. Creatinine",
SLD-GI-002,"Avoid lying down for two hours after eating. Raise the head of the bed. Avoid spicy food, tea and smoking.","খাওয়ার পর দুই ঘণ্টা শুয়ে পড়বেন না। বিছানার মাথার দিক উঁচু করে ঘুমান। ঝাল খাবার, চা ও ধূমপান এড়িয়ে চলুন।","CBC, Endoscopy if not improving",
SLD-GI-003,"Take the full course even after the pain settles. Avoid painkillers, spicy food and smoking.","ব্যথা কমে গেলেও পুরো কোর্স শেষ করুন। ব্যথার ওষুধ, ঝাল খাবার ও ধূমপান এড়িয়ে চলুন।","CBC, H. pylori test, Endoscopy",
SLD-GI-005,"Eat on time and chew slowly. Reduce tea, coffee and fried food. Walk for twenty minutes after dinner.","সময়মতো খান, ধীরে ধীরে চিবিয়ে খান। চা, কফি ও ভাজাপোড়া কমান। রাতের খাবারের পর বিশ মিনিট হাঁটুন।","CBC, USG of whole abdomen",
SLD-GI-006,"Keep a regular meal time. Increase fibre and water. Note which foods trigger it.","নিয়মিত সময়ে খাবার খান। আঁশযুক্ত খাবার ও পানি বাড়ান। কোন খাবারে সমস্যা বাড়ে খেয়াল রাখুন।","CBC, Stool R/E",
SLD-GI-007,"Drink plenty of oral saline and safe water. Eat soft food. Return at once if there is blood in the stool, or if urine stops.","প্রচুর খাবার স্যালাইন ও নিরাপদ পানি পান করুন। নরম খাবার খান। পায়খানার সাথে রক্ত গেলে বা প্রস্রাব বন্ধ হলে সাথে সাথে আসুন।","Stool R/E, CBC",
SLD-GI-011,"Drink more water. Eat vegetables and fruit daily. Walk every day. Do not delay the urge.","বেশি পানি পান করুন। প্রতিদিন শাকসবজি ও ফল খান। প্রতিদিন হাঁটুন। পায়খানার বেগ চেপে রাখবেন না।","",
SLD-GI-012,"Avoid straining and long sitting on the toilet. Take a warm sitz bath twice a day. Keep the stool soft.","কোষ্ঠকাঠিন্য ও টয়লেটে বেশিক্ষণ বসা এড়িয়ে চলুন। দিনে দুইবার কুসুম গরম পানিতে বসুন। পায়খানা নরম রাখুন।","",
SLD-GI-015,"Cut nails short and wash hands before eating. Treat the whole family together.","নখ ছোট রাখুন, খাওয়ার আগে হাত ধুবেন। পরিবারের সবাই একসাথে ওষুধ খাবেন।","Stool R/E",
