code,name,aliases,icd10_unverified,category
SLD-GI-001,Gastritis / Acid peptic disease,gastric|acidity|APD|acid peptic|গ্যাস্ট্রিক|gastric problem|hyperacidity,K29.7,Gastrointestinal
SLD-GI-002,Gastro-oesophageal reflux disease,GERD|reflux|heartburn|acid reflux|বুক জ্বালা,K21.9,Gastrointestinal
SLD-GI-003,Peptic ulcer disease,PUD|gastric ulcer|stomach ulcer|আলসার,K27.9,Gastrointestinal
SLD-GI-004,Duodenal ulcer,DU|duodenal,K26.9,Gastrointestinal
SLD-GI-005,Functional dyspepsia,dyspepsia|indigestion|বদহজম,K30,Gastrointestinal
SLD-GI-006,Irritable bowel syndrome,IBS|spastic colon,K58.9,Gastrointestinal
SLD-GI-007,Acute gastroenteritis,AGE|gastroenteritis|diarrhoea|diarrhea|ডায়রিয়া|loose motion,A09,Gastrointestinal
SLD-GI-008,Amoebiasis,amoebic dysentery|আমাশয়|amebiasis,A06.0,Gastrointestinal
SLD-GI-009,Giardiasis,giardia,A07.1,Gastrointestinal
SLD-GI-010,Bacillary dysentery,shigellosis|blood dysentery|রক্ত আমাশয়,A03.9,Gastrointestinal
SLD-GI-011,Constipation,কোষ্ঠকাঠিন্য|chronic constipation,K59.0,Gastrointestinal
SLD-GI-012,Haemorrhoids,piles|hemorrhoids|পাইলস|অর্শ,K64.9,Gastrointestinal
SLD-GI-013,Anal fissure,fissure|ফিসার,K60.2,Gastrointestinal
SLD-GI-014,Perianal abscess / fistula,fistula in ano|ভগন্দর,K61.0,Gastrointestinal
SLD-GI-015,Intestinal worm infestation,worms|helminthiasis|কৃমি|ascaris,B82.0,Gastrointestinal
SLD-GI-016,Hepatitis A,HAV|jaundice viral,B15.9,Gastrointestinal
SLD-GI-017,Hepatitis B,HBV|hep B,B16.9,Gastrointestinal
SLD-GI-018,Hepatitis C,HCV|hep C,B18.2,Gastrointestinal
SLD-GI-019,Non-alcoholic fatty liver disease,NAFLD|fatty liver|fatty change liver,K76.0,Gastrointestinal
SLD-GI-020,Chronic liver disease / cirrhosis,CLD|cirrhosis|liver failure,K74.6,Gastrointestinal
SLD-GI-021,Cholelithiasis,gallstone|gall bladder stone|পিত্তথলির পাথর,K80.2,Gastrointestinal
SLD-GI-022,Acute cholecystitis,cholecystitis,K81.0,Gastrointestinal
SLD-GI-023,Jaundice unspecified,jaundice|জন্ডিস,R17,Gastrointestinal
SLD-GI-024,Food poisoning,foodborne illness,A05.9,Gastrointestinal
SLD-GI-025,Lactose intolerance,milk intolerance,E73.9,Gastrointestinal
SLD-GI-026,Acute appendicitis,appendicitis|অ্যাপেন্ডিসাইটিস,K35.80,Gastrointestinal
SLD-GI-027,Inguinal hernia,hernia|হার্নিয়া,K40.90,Gastrointestinal
SLD-GI-028,Abdominal pain unspecified,pet betha|পেট ব্যথা|abdominal pain,R10.9,Gastrointestinal
SLD-RES-001,Upper respiratory tract infection,URTI|common cold|cold|সর্দি,J06.9,Respiratory
SLD-RES-002,Acute pharyngitis,sore throat|pharyngitis|গলা ব্যথা,J02.9,Respiratory
SLD-RES-003,Acute tonsillitis,tonsillitis|টনসিল,J03.90,Respiratory
SLD-RES-004,Acute sinusitis,sinusitis|সাইনাস,J01.90,Respiratory
SLD-RES-005,Chronic sinusitis,chronic sinus,J32.9,Respiratory
SLD-RES-006,Acute bronchitis,bronchitis|ব্রংকাইটিস,J20.9,Respiratory
SLD-RES-007,Community acquired pneumonia,pneumonia|নিউমোনিয়া|CAP,J18.9,Respiratory
SLD-RES-008,Bronchial asthma,asthma|হাঁপানি|শ্বাসকষ্ট,J45.909,Respiratory
SLD-RES-009,Chronic obstructive pulmonary disease,COPD|chronic bronchitis|emphysema,J44.9,Respiratory
SLD-RES-010,Allergic rhinitis,rhinitis|nasal allergy|এলার্জি সর্দি,J30.9,Respiratory
SLD-RES-011,Pulmonary tuberculosis,TB|PTB|যক্ষ্মা|tuberculosis,A15.0,Respiratory
SLD-RES-012,Extrapulmonary tuberculosis,EPTB|TB lymph node,A18.9,Respiratory
SLD-RES-013,Influenza,flu|ফ্লু,J11.1,Respiratory
SLD-RES-014,COVID-19,corona|covid|SARS-CoV-2,U07.1,Respiratory
SLD-RES-015,Acute laryngitis,laryngitis|hoarseness,J04.0,Respiratory
SLD-RES-016,Cough unspecified,cough|কাশি,R05,Respiratory
SLD-RES-017,Bronchiectasis,bronchiectasis,J47.9,Respiratory
SLD-RES-018,Pleural effusion,pleural effusion|water in lung,J90,Respiratory
SLD-CVS-001,Essential hypertension,HTN|high blood pressure|উচ্চ রক্তচাপ|high BP|pressure,I10,Cardiovascular
SLD-CVS-002,Ischaemic heart disease,IHD|coronary artery disease|CAD|heart disease,I25.9,Cardiovascular
SLD-CVS-003,Angina pectoris,angina|chest pain cardiac,I20.9,Cardiovascular
SLD-CVS-004,Acute myocardial infarction,MI|heart attack|হার্ট অ্যাটাক,I21.9,Cardiovascular
SLD-CVS-005,Congestive cardiac failure,CCF|heart failure|CHF,I50.9,Cardiovascular
SLD-CVS-006,Atrial fibrillation,AF|irregular heartbeat,I48.91,Cardiovascular
SLD-CVS-007,Palpitation,palpitation|বুক ধড়ফড়,R00.2,Cardiovascular
SLD-CVS-008,Dyslipidaemia,high cholesterol|hyperlipidaemia|lipid,E78.5,Cardiovascular
SLD-CVS-009,Rheumatic heart disease,RHD|valvular heart disease,I09.9,Cardiovascular
SLD-CVS-010,Deep vein thrombosis,DVT|clot leg,I82.409,Cardiovascular
SLD-CVS-011,Varicose veins,varicose|ভেরিকোস,I83.90,Cardiovascular
SLD-CVS-012,Postural hypotension,low blood pressure|low BP|নিম্ন রক্তচাপ,I95.1,Cardiovascular
SLD-END-001,Type 2 diabetes mellitus,T2DM|diabetes|DM|ডায়াবেটিস|sugar,E11.9,Endocrine
SLD-END-002,Type 1 diabetes mellitus,T1DM|juvenile diabetes,E10.9,Endocrine
SLD-END-003,Prediabetes / impaired glucose tolerance,IGT|prediabetes|borderline sugar,R73.03,Endocrine
SLD-END-004,Gestational diabetes mellitus,GDM|pregnancy diabetes,O24.419,Endocrine
SLD-END-005,Diabetic neuropathy,diabetic nerve|DPN,E11.40,Endocrine
SLD-END-006,Diabetic foot ulcer,diabetic foot|diabetic ulcer,E11.621,Endocrine
SLD-END-007,Hypothyroidism,thyroid low|থাইরয়েড,E03.9,Endocrine
SLD-END-008,Hyperthyroidism,thyrotoxicosis|thyroid high,E05.90,Endocrine
SLD-END-009,Goitre,goiter|গলগণ্ড,E04.9,Endocrine
SLD-END-010,Obesity,overweight|মোটা,E66.9,Endocrine
SLD-END-011,Polycystic ovary syndrome,PCOS|PCOD,E28.2,Endocrine
SLD-END-012,Gout,gout|uric acid|ইউরিক এসিড,M10.9,Endocrine
SLD-END-013,Vitamin D deficiency,vit D|low vitamin D,E55.9,Endocrine
SLD-END-014,Vitamin B12 deficiency,B12 deficiency,E53.8,Endocrine
SLD-END-015,Metabolic syndrome,metabolic syndrome,E88.81,Endocrine
SLD-NEU-001,Migraine,migraine|মাইগ্রেন,G43.909,Neurological
SLD-NEU-002,Tension type headache,tension headache|TTH|মাথাব্যথা,G44.209,Neurological
SLD-NEU-003,Headache unspecified,headache|মাথা ব্যথা,R51.9,Neurological
SLD-NEU-004,Epilepsy,seizure|fits|খিঁচুনি|convulsion,G40.909,Neurological
SLD-NEU-005,Cerebrovascular accident,stroke|CVA|স্ট্রোক|paralysis,I63.9,Neurological
SLD-NEU-006,Transient ischaemic attack,TIA|mini stroke,G45.9,Neurological
SLD-NEU-007,Peripheral neuropathy,neuropathy|nerve pain|জ্বালাপোড়া,G62.9,Neurological
SLD-NEU-008,Benign paroxysmal positional vertigo,BPPV|vertigo|মাথা ঘোরা|dizziness,H81.10,Neurological
SLD-NEU-009,Bell palsy,facial palsy|Bell's palsy|মুখ বাঁকা,G51.0,Neurological
SLD-NEU-010,Parkinson disease,parkinsonism|parkinson,G20,Neurological
SLD-NEU-011,Dementia,alzheimer|memory loss|ভুলে যাওয়া,F03.90,Neurological
SLD-NEU-012,Sciatica,sciatica|leg radiating pain,M54.30,Neurological
SLD-NEU-013,Carpal tunnel syndrome,CTS|carpal tunnel,G56.00,Neurological
SLD-NEU-014,Insomnia,sleeplessness|ঘুম না হওয়া|sleep problem,G47.00,Neurological
SLD-NEU-015,Cervical radiculopathy,neck nerve pain,M54.12,Neurological
SLD-MSK-001,Low back pain,LBP|back pain|কোমর ব্যথা,M54.50,Musculoskeletal
SLD-MSK-002,Cervical spondylosis,neck spondylosis|ঘাড় ব্যথা,M47.812,Musculoskeletal
SLD-MSK-003,Lumbar spondylosis,lumbar spondylosis,M47.816,Musculoskeletal
SLD-MSK-004,Lumbar disc prolapse,PLID|disc prolapse|slipped disc,M51.26,Musculoskeletal
SLD-MSK-005,Osteoarthritis knee,OA knee|knee pain|হাঁটু ব্যথা,M17.9,Musculoskeletal
SLD-MSK-006,Rheumatoid arthritis,RA|বাত,M06.9,Musculoskeletal
SLD-MSK-007,Frozen shoulder,adhesive capsulitis|shoulder pain,M75.00,Musculoskeletal
SLD-MSK-008,Osteoporosis,bone loss|হাড় ক্ষয়,M81.0,Musculoskeletal
SLD-MSK-009,Plantar fasciitis,heel pain|পায়ের গোড়ালি ব্যথা,M72.2,Musculoskeletal
SLD-MSK-010,Lateral epicondylitis,tennis elbow,M77.10,Musculoskeletal
SLD-MSK-011,Ankylosing spondylitis,AS|spondyloarthritis,M45.9,Musculoskeletal
SLD-MSK-012,Fibromyalgia,fibromyalgia|body ache chronic,M79.7,Musculoskeletal
SLD-MSK-013,Myalgia / muscle strain,muscle pain|শরীর ব্যথা|body ache,M79.10,Musculoskeletal
SLD-MSK-014,Soft tissue injury,sprain|strain|আঘাত,T14.90,Musculoskeletal
SLD-MSK-015,Fracture unspecified,fracture|হাড় ভাঙা|broken bone,T14.90,Musculoskeletal
SLD-MSK-016,Gouty arthritis,gout attack|acute gout,M10.00,Musculoskeletal
SLD-MSK-017,Ganglion cyst,ganglion,M67.40,Musculoskeletal
SLD-INF-001,Dengue fever,dengue|ডেঙ্গু,A90,Infectious
SLD-INF-002,Dengue haemorrhagic fever,DHF|severe dengue,A91,Infectious
SLD-INF-003,Chikungunya,chikungunya|চিকুনগুনিয়া,A92.0,Infectious
SLD-INF-004,Malaria,malaria|ম্যালেরিয়া,B54,Infectious
SLD-INF-005,Enteric fever,typhoid|টাইফয়েড|paratyphoid,A01.00,Infectious
SLD-INF-006,Visceral leishmaniasis,kala azar|কালাজ্বর,B55.0,Infectious
SLD-INF-007,Pyrexia of unknown origin,PUO|fever|জ্বর|viral fever,R50.9,Infectious
SLD-INF-008,Viral fever,viral fever|ভাইরাল জ্বর,B34.9,Infectious
SLD-INF-009,Cellulitis,cellulitis|skin infection,L03.90,Infectious
SLD-INF-010,Cutaneous abscess,abscess|boil|ফোঁড়া,L02.91,Infectious
SLD-INF-011,Chickenpox,varicella|জলবসন্ত,B01.9,Infectious
SLD-INF-012,Measles,measles|হাম,B05.9,Infectious
SLD-INF-013,Mumps,mumps|গালফুলা,B26.9,Infectious
SLD-INF-014,Herpes zoster,shingles|zoster,B02.9,Infectious
SLD-INF-015,Herpes simplex,HSV|cold sore,B00.9,Infectious
SLD-INF-016,Leprosy,hansen disease|কুষ্ঠ,A30.9,Infectious
SLD-INF-017,Animal bite / rabies exposure,dog bite|কুকুরের কামড়|rabies,W54.0,Infectious
SLD-INF-018,Snake bite,snake bite|সাপের কামড়,T63.001,Infectious
SLD-INF-019,Tetanus prophylaxis,tetanus|TT,Z23,Infectious
SLD-INF-020,Filariasis,filaria|গোদ,B74.9,Infectious
SLD-DER-001,Atopic dermatitis / eczema,eczema|একজিমা|atopic,L20.9,Dermatological
SLD-DER-002,Contact dermatitis,contact allergy|skin allergy,L25.9,Dermatological
SLD-DER-003,Psoriasis,psoriasis|সোরিয়াসিস,L40.9,Dermatological
SLD-DER-004,Acne vulgaris,acne|pimple|ব্রণ,L70.0,Dermatological
SLD-DER-005,Urticaria,hives|allergy rash|চুলকানি র‍্যাশ,L50.9,Dermatological
SLD-DER-006,Tinea corporis,ringworm|দাদ|fungal infection,B35.4,Dermatological
SLD-DER-007,Tinea cruris,jock itch|groin fungus,B35.6,Dermatological
SLD-DER-008,Tinea pedis,athlete foot|foot fungus,B35.3,Dermatological
SLD-DER-009,Onychomycosis,nail fungus|fungal nail,B35.1,Dermatological
SLD-DER-010,Scabies,scabies|খোসপাঁচড়া,B86,Dermatological
SLD-DER-011,Pediculosis,head lice|উকুন,B85.0,Dermatological
SLD-DER-012,Vitiligo,vitiligo|শ্বেতী|leucoderma,L80,Dermatological
SLD-DER-013,Melasma,melasma|face pigmentation|মেছতা,L81.1,Dermatological
SLD-DER-014,Alopecia,hair fall|চুল পড়া|hair loss,L65.9,Dermatological
SLD-DER-015,Seborrhoeic dermatitis,dandruff|খুশকি,L21.9,Dermatological
SLD-DER-016,Folliculitis,folliculitis,L73.9,Dermatological
SLD-DER-017,Viral wart,wart|আঁচিল,B07.9,Dermatological
SLD-DER-018,Pruritus unspecified,itching|চুলকানি,L29.9,Dermatological
SLD-DER-019,Keloid,keloid|scar,L91.0,Dermatological
SLD-DER-020,Pityriasis versicolor,tinea versicolor|ছুলি,B36.0,Dermatological
SLD-REN-001,Urinary tract infection,UTI|urine infection|প্রস্রাবে জ্বালা,N39.0,Renal & Urology
SLD-REN-002,Acute pyelonephritis,pyelonephritis|kidney infection,N10,Renal & Urology
SLD-REN-003,Urolithiasis,kidney stone|renal stone|পাথর,N20.0,Renal & Urology
SLD-REN-004,Chronic kidney disease,CKD|kidney failure|কিডনি রোগ,N18.9,Renal & Urology
SLD-REN-005,Acute kidney injury,AKI|acute renal failure,N17.9,Renal & Urology
SLD-REN-006,Benign prostatic hyperplasia,BPH|prostate enlargement,N40.0,Renal & Urology
SLD-REN-007,Prostatitis,prostatitis,N41.9,Renal & Urology
SLD-REN-008,Nephrotic syndrome,nephrotic,N04.9,Renal & Urology
SLD-REN-009,Erectile dysfunction,ED|impotence,N52.9,Renal & Urology
SLD-REN-010,Urinary retention,retention of urine|প্রস্রাব বন্ধ,R33.9,Renal & Urology
SLD-REN-011,Haematuria,blood in urine|রক্ত প্রস্রাব,R31.9,Renal & Urology
SLD-REN-012,Hydrocele,hydrocele|একশিরা,N43.3,Renal & Urology
SLD-OBG-001,Normal pregnancy / antenatal care,ANC|pregnancy|গর্ভাবস্থা|pregnant,Z34.90,Obstetrics & Gynaecology
SLD-OBG-002,Anaemia in pregnancy,pregnancy anaemia,O99.019,Obstetrics & Gynaecology
SLD-OBG-003,Pre-eclampsia,pre eclampsia|PIH|pregnancy hypertension,O14.90,Obstetrics & Gynaecology
SLD-OBG-004,Hyperemesis gravidarum,pregnancy vomiting|morning sickness,O21.0,Obstetrics & Gynaecology
SLD-OBG-005,Threatened abortion,threatened miscarriage,O20.0,Obstetrics & Gynaecology
SLD-OBG-006,Dysmenorrhoea,period pain|মাসিকের ব্যথা,N94.6,Obstetrics & Gynaecology
SLD-OBG-007,Menorrhagia,heavy period|অতিরিক্ত রক্তস্রাব,N92.0,Obstetrics & Gynaecology
SLD-OBG-008,Oligomenorrhoea / irregular menses,irregular period|অনিয়মিত মাসিক,N91.5,Obstetrics & Gynaecology
SLD-OBG-009,Amenorrhoea,no period|মাসিক বন্ধ,N91.2,Obstetrics & Gynaecology
SLD-OBG-010,Vaginal candidiasis,yeast infection|white discharge|সাদা স্রাব,B37.3,Obstetrics & Gynaecology
SLD-OBG-011,Bacterial vaginosis,BV|vaginosis,N76.0,Obstetrics & Gynaecology
SLD-OBG-012,Pelvic inflammatory disease,PID,N73.9,Obstetrics & Gynaecology
SLD-OBG-013,Leucorrhoea,vaginal discharge|স্রাব,N89.8,Obstetrics & Gynaecology
SLD-OBG-014,Uterine fibroid,fibroid|টিউমার জরায়ু,D25.9,Obstetrics & Gynaecology
