## ChamberQ starter dosing defaults
## ------------------------------------------------------------------------
## No drug database anywhere carries "how to prescribe this". BDDrugBank is a
## product list (brand, strength, form, manufacturer); even licensed clinical
## databases such as MIMS leave the dose to the prescriber, which is why the
## mature systems built on them ship a per-doctor "save as my default" button
## instead of an imported dosing table. This file is the one place a starting
## point is written down, so the pad is useful on the very first patient
## rather than after a week of teaching it.
##
## WHAT THESE ARE
## A common adult outpatient starting pattern per generic -- the pattern, not
## the dose. Nothing here is weight-based, and the strength still comes from
## the catalogue. Paediatric, renal, hepatic and pregnancy adjustments are out
## of scope: the doctor is the one who knows the patient.
##
## WHY THIS IS SAFE TO SHIP ON
##  - It only pre-fills a row the doctor is already writing, and only cells he
##    has left empty. Every cell stays editable and clears in one keystroke.
##  - The doctor's own saved default always wins over this file.
##  - It replaces a single hardcoded '1+1+1' / '5 days' that was applied to
##    every drug alike -- a PPI is 1+0+0 before food, an antihistamine 0+0+1 at
##    night. Anything class-appropriate is strictly safer than that literal.
##  - Only oral forms (tablet, capsule, syrup, sachet) are touched, and a
##    combination product never inherits a single-ingredient default.
##
## HOW TO EDIT
##   Change any value and re-run  php artisan dosing-defaults:load
##   To stop a drug being pre-filled at all, put  hold  in the `hold` column;
##   that field then stays blank in the pad. Blank is honest -- the doctor
##   fills it himself.
##
## ALLOWED VALUES (anything else is rejected by the loader, not stored)
##   default_frequency  1+0+0 | 0+1+0 | 0+0+1 | 1+0+1 | 1+1+1 | 1/2+0+1/2 | SOS
##   default_duration   3 days | 5 days | 7 days | 10 days | 14 days | 1 month | Continue
##   default_timing     after_food | before_food | empty_stomach | at_night | with_food
##
## `Continue` means a long-term medicine with no stop date on the pad.
## Blank in any column = no default; the doctor fills that cell himself.
generic_name,default_frequency,default_duration,default_timing,hold,note
# --- Acid / stomach -------------------------------------------------------
Omeprazole,1+0+0,1 month,before_food,,PPI: once daily before breakfast
Esomeprazole,1+0+0,1 month,before_food,,
Pantoprazole,1+0+0,1 month,before_food,,
Rabeprazole,1+0+0,1 month,before_food,,
Lansoprazole,1+0+0,1 month,before_food,,
Dexlansoprazole,1+0+0,1 month,before_food,,
Famotidine,1+0+1,14 days,before_food,,H2 blocker
Sucralfate,1+1+1,14 days,before_food,,Taken on an empty stomach before meals
Rebamipide,1+1+1,14 days,after_food,,
Domperidone,1+1+1,5 days,before_food,,Prokinetic: 15-30 min before meals
Itopride,1+1+1,14 days,before_food,,
Metoclopramide,1+1+1,3 days,before_food,,
Ondansetron,1+1+1,3 days,,,
Hyoscine butylbromide,SOS,,,,Antispasmodic as needed for colic
Drotaverine,1+1+1,3 days,after_food,,
Mebeverine,1+0+1,14 days,before_food,,IBS: 20 min before meals
Trimebutine,1+1+1,14 days,before_food,,
Ursodeoxycholic acid,1+0+1,1 month,after_food,,
Lactulose,0+0+1,7 days,at_night,,
Ispaghula husk,0+0+1,1 month,at_night,,With a full glass of water
Bisacodyl,0+0+1,3 days,at_night,,
# --- Pain / fever / inflammation -----------------------------------------
Paracetamol,1+1+1,3 days,after_food,,
Ibuprofen,1+1+1,5 days,after_food,,NSAID: always after food
Naproxen,1+0+1,5 days,after_food,,
Diclofenac,1+0+1,5 days,after_food,,
Aceclofenac,1+0+1,5 days,after_food,,
Etoricoxib,1+0+0,5 days,after_food,,
Indomethacin,1+0+1,5 days,after_food,,
Mefenamic acid,1+1+1,3 days,after_food,,
Tramadol,1+0+1,3 days,after_food,,
Tizanidine,0+0+1,5 days,at_night,,Muscle relaxant: sedating
Eperisone,1+1+1,7 days,after_food,,
Baclofen,1+1+1,7 days,after_food,,
Colchicine,1+0+1,3 days,after_food,,Acute gout
Allopurinol,1+0+0,Continue,after_food,,Long-term urate lowering
Febuxostat,1+0+0,Continue,after_food,,
# --- Allergy / skin -------------------------------------------------------
Cetirizine,0+0+1,7 days,at_night,,Sedating: night dose
Levocetirizine,0+0+1,7 days,at_night,,
Fexofenadine,1+0+0,7 days,,,Non-sedating
Loratadine,1+0+0,7 days,,,
Desloratadine,0+0+1,7 days,at_night,,
Rupatadine,0+0+1,7 days,at_night,,
Bilastine,1+0+0,7 days,empty_stomach,,One hour before or two hours after food
Ebastine,0+0+1,7 days,at_night,,
Ketotifen,0+0+1,1 month,at_night,,
Hydroxyzine,0+0+1,7 days,at_night,,
Chlorpheniramine,0+0+1,5 days,at_night,,
Montelukast,0+0+1,1 month,at_night,,
Prednisolone,1+0+0,5 days,after_food,,Short course: morning dose
Deflazacort,1+0+0,5 days,after_food,,
Isotretinoin,1+0+0,1 month,after_food,,Absorption needs food
# --- Antibiotics ----------------------------------------------------------
Amoxicillin,1+1+1,7 days,after_food,,
Amoxicillin + Clavulanic acid,1+0+1,7 days,after_food,,
Ampicillin,1+1+1,7 days,empty_stomach,,
Flucloxacillin,1+1+1,7 days,empty_stomach,,
Cephradine,1+1+1,7 days,after_food,,
