ingredient_a,ingredient_b,severity,effect,action,source
aceclofenac,citalopram,serious,Increased risk of gastrointestinal bleeding,"Consider gastric protection, or an alternative analgesic",SSRIs impair platelet aggregation
aceclofenac,escitalopram,serious,Increased risk of gastrointestinal bleeding,"Consider gastric protection, or an alternative analgesic",SSRIs impair platelet aggregation
aceclofenac,fluoxetine,serious,Increased risk of gastrointestinal bleeding,"Consider gastric protection, or an alternative analgesic",SSRIs impair platelet aggregation
aceclofenac,lithium,serious,Lithium levels rise; risk of lithium toxicity,"Avoid, or monitor lithium levels closely",Reduced renal lithium clearance
aceclofenac,methotrexate,serious,Methotrexate excretion reduced; risk of marrow suppression,"Avoid, especially at higher methotrexate doses",Reduced renal clearance of methotrexate
aceclofenac,paroxetine,serious,Increased risk of gastrointestinal bleeding,"Consider gastric protection, or an alternative analgesic",SSRIs impair platelet aggregation
aceclofenac,sertraline,serious,Increased risk of gastrointestinal bleeding,"Consider gastric protection, or an alternative analgesic",SSRIs impair platelet aggregation
aceclofenac,warfarin,avoid,Greatly increased risk of gastrointestinal and other bleeding,Avoid. Use paracetamol for pain instead,Antiplatelet/anticoagulant additive bleeding risk
allopurinol,azathioprine,avoid,Severe marrow suppression,Avoid; if unavoidable the thiopurine dose must be cut to about a quarter,Xanthine oxidase inhibition blocks thiopurine breakdown
allopurinol,mercaptopurine,avoid,Severe marrow suppression,Avoid; if unavoidable the thiopurine dose must be cut to about a quarter,Xanthine oxidase inhibition blocks thiopurine breakdown
amiloride,enalapril,serious,Risk of dangerously high potassium,Check potassium and renal function; avoid in renal impairment,Additive potassium retention
amiloride,irbesartan,serious,Risk of dangerously high potassium,Check potassium and renal function; avoid in renal impairment,Additive potassium retention
amiloride,lisinopril,serious,Risk of dangerously high potassium,Check potassium and renal function; avoid in renal impairment,Additive potassium retention
amiloride,losartan,serious,Risk of dangerously high potassium,Check potassium and renal function; avoid in renal impairment,Additive potassium retention
amiloride,olmesartan,serious,Risk of dangerously high potassium,Check potassium and renal function; avoid in renal impairment,Additive potassium retention
amiloride,perindopril,serious,Risk of dangerously high potassium,Check potassium and renal function; avoid in renal impairment,Additive potassium retention
amiloride,ramipril,serious,Risk of dangerously high potassium,Check potassium and renal function; avoid in renal impairment,Additive potassium retention
amiloride,spironolactone,avoid,Risk of dangerously high potassium,Avoid the combination,Additive potassium retention
amiloride,telmisartan,serious,Risk of dangerously high potassium,Check potassium and renal function; avoid in renal impairment,Additive potassium retention
amiloride,valsartan,serious,Risk of dangerously high potassium,Check potassium and renal function; avoid in renal impairment,Additive potassium retention
aminophylline,ciprofloxacin,serious,Theophylline levels rise; risk of seizures and arrhythmia,Reduce theophylline dose or choose another antibiotic,CYP1A2 inhibition
aminophylline,clarithromycin,serious,Theophylline levels rise; risk of seizures and arrhythmia,Reduce theophylline dose or choose another antibiotic,CYP1A2 inhibition
aminophylline,erythromycin,serious,Theophylline levels rise; risk of seizures and arrhythmia,Reduce theophylline dose or choose another antibiotic,CYP1A2 inhibition
amiodarone,digoxin,serious,Digoxin levels rise; risk of digoxin toxicity,Halve the digoxin dose and monitor,Reduced digoxin clearance / P-glycoprotein inhibition
amiodarone,warfarin,serious,Anticoagulant effect increased for weeks after starting,Reduce warfarin dose and monitor INR,CYP2C9 inhibition
aspirin,citalopram,serious,Increased risk of gastrointestinal bleeding,"Consider gastric protection, or an alternative analgesic",SSRIs impair platelet aggregation
aspirin,escitalopram,serious,Increased risk of gastrointestinal bleeding,"Consider gastric protection, or an alternative analgesic",SSRIs impair platelet aggregation
aspirin,fluoxetine,serious,Increased risk of gastrointestinal bleeding,"Consider gastric protection, or an alternative analgesic",SSRIs impair platelet aggregation
aspirin,methotrexate,serious,Methotrexate excretion reduced; risk of marrow suppression,"Avoid, especially at higher methotrexate doses",Reduced renal clearance of methotrexate
aspirin,paroxetine,serious,Increased risk of gastrointestinal bleeding,"Consider gastric protection, or an alternative analgesic",SSRIs impair platelet aggregation
aspirin,sertraline,serious,Increased risk of gastrointestinal bleeding,"Consider gastric protection, or an alternative analgesic",SSRIs impair platelet aggregation
aspirin,warfarin,avoid,Greatly increased risk of gastrointestinal and other bleeding,Avoid. Use paracetamol for pain instead,Antiplatelet/anticoagulant additive bleeding risk
atenolol,diltiazem,serious,"Risk of severe bradycardia, heart block and heart failure",Avoid the combination; amlodipine is safer with a beta blocker,Additive negative chronotropic and inotropic effect
atenolol,verapamil,serious,"Risk of severe bradycardia, heart block and heart failure",Avoid the combination; amlodipine is safer with a beta blocker,Additive negative chronotropic and inotropic effect
atorvastatin,clarithromycin,serious,Statin levels rise sharply; risk of muscle damage and rhabdomyolysis,Pause the statin for the antibiotic/antifungal course,CYP3A4 inhibition
atorvastatin,erythromycin,serious,Statin levels rise sharply; risk of muscle damage and rhabdomyolysis,Pause the statin for the antibiotic/antifungal course,CYP3A4 inhibition
atorvastatin,fluconazole,serious,Statin levels rise sharply; risk of muscle damage and rhabdomyolysis,Pause the statin for the antibiotic/antifungal course,CYP3A4 inhibition
atorvastatin,itraconazole,serious,Statin levels rise sharply; risk of muscle damage and rhabdomyolysis,Pause the statin for the antibiotic/antifungal course,CYP3A4 inhibition
atorvastatin,ketoconazole,serious,Statin levels rise sharply; risk of muscle damage and rhabdomyolysis,Pause the statin for the antibiotic/antifungal course,CYP3A4 inhibition
